Genre,Movie Name,Year,Rating,Votes,Type,Detail/Main Story,Metascore
Adventure,126. Frieren: Beyond Journey's End,2023?,8.9?(5.2K),"Votes5,241",TV Series,"An elf and her friends defeat a demon king in a great war. But the war is over, and the elf must search for a new way of life.",
Adventure,127. Star Trek: Picard,2020?2023,7.5?(93K),"Votes93,276",TV Series,Follow-up series to Star Trek: The Next Generation (1987) and Star Trek: Nemesis (2002) that centers on Jean-Luc Picard in the next chapter of his life.,
Adventure,128. Agents of S.H.I.E.L.D.,2013?2020,7.5?(225K),"Votes224,597",TV Series,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.",
Adventure,129. How to Train Your Dragon,2010,8.1?(789K),"Votes789,447",,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",75
Adventure,130. Harry Potter and the Prisoner of Azkaban,2004,7.9?(682K),"Votes682,121",,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",82
Adventure,131. Killing Eve,2018?2022,8.1?(131K),"Votes130,978",TV Series,"After a series of events, the lives of a security operative and an assassin become inextricably linked.",
Adventure,132. Eternals,2021,6.3?(379K),"Votes378,919",,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",52
Adventure,133. Avatar,2009,7.9?(1.4M),"Votes1,372,996",,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,83
Adventure,134. The Revenant,2015,8.0?(861K),"Votes861,326",,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,76
Adventure,135. Spider-Man: Into the Spider-Verse,2018,8.4?(654K),"Votes654,331",,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,87
Adventure,136. No Time to Die,2021,7.3?(438K),"Votes438,431",,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",68
Adventure,137. The Walking Dead: Dead City,2023?,7.2?(18K),"Votes17,568",TV Series,Maggie and Negan travel into a post-apocalyptic Manhattan long ago cut off from the mainland. The city is filled with the dead and denizens who have made New York City their own world.,
Adventure,138. Delirium,2014,6.5?(2K),"Votes1,992",TV Movie,"Set in a world where love is deemed illegal and can be eradicated with a special procedure. With 95 days to go until her scheduled treatment, Lena Holoway does the unthinkable: she falls in love.",
Adventure,139. Harry Potter and the Chamber of Secrets,2002,7.4?(683K),"Votes683,235",,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,63
Adventure,140. Ghostbusters: Afterlife,2021,7.1?(208K),"Votes207,958",,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",45
Adventure,141. Spider-Man,2002,7.4?(868K),"Votes867,819",,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",73
